,name,forks,stars,watchers,subscribers
530,aya49/omics_asthma,0,0,0,2
531,bhattlab/bhattlab_workflows,12,35,35,10
532,suecharo/sapporo_test_workflows,0,0,0,1
533,danielzmbp/wsgups,0,0,0,1
534,niekh-13/phylogenetic_workflows,0,2,2,2
535,jcmcnch/MGPrimerEval,0,1,1,2
536,maxlcummins/pipelord,1,3,3,3
537,hchyang/PSiTE,2,9,9,3
538,arushiv/regulatoryAnnotations_comparisons,1,1,1,2
539,martynakgajos/nanopore-transcriptome-analysis,1,2,2,1
540,michalogit/snake_hisat,0,2,2,1
541,jaimicore/JASPAR_2020,0,0,0,1
542,blab/cartography,1,1,1,5
543,caipine/Snakemake-CHIPseq,0,1,1,2
544,maxlcummins/pipelord,1,3,3,3
545,jcmcnch/MGPrimerEval,0,1,1,2
546,CGI-stLFR/CGI_WGS_Pipeline,0,0,0,3
547,csoeder/PsiSeq2,0,1,1,3
548,vodkatad/snakegatk,0,1,1,1
549,KBoehme/ADGC_HRC_merge,1,0,0,3
550,ecalfee/hilo,1,3,3,2
551,FordyceLab/tessellate,0,0,0,5
552,nextstrain/tb,5,1,1,9
553,philippmuench/OligoMM-report-v2,0,0,0,1
554,Jyyin333/CLAPS-seq,0,0,0,1
555,Hajibabaei-Lab/SCVUC_COI_metabarcode_pipeline,1,1,1,2
556,mw55309/MAGCloudCosts,0,0,0,3
557,WatsonLab/GoogleMAGs,2,1,1,3
558,fcarelli/glre,0,0,0,1
559,shigdon/snakemake_lactococcus,0,1,1,2
560,nickjstevens/analysis-workflow,1,6,6,1
561,AlgoLab/HapQual,0,1,1,6
562,AlBi-HHU/genetic-polyploid-phasing-suppl-material,0,0,0,2
563,jbloomlab/SARS-CoV-2-RBD_MAP_Vir_mAbs,0,0,0,2
564,lch14forever/gis_minion_basecall,0,0,0,1
565,geparada/RNA_seq_course2020,8,0,0,1
566,sailalithabollepalli/ChIPSeqAnalysis,0,0,0,0
567,openbiome/donor-effects,0,0,0,2
568,rathmuth/RADseq,0,0,0,1
569,sidiropoulos/TCGAsnake,0,0,0,2
570,ding-lab/germline_variant_snakemake,0,5,5,20
571,fabiopuddu/augur-fermentorum,0,1,1,2
572,guanli/Muscle_adipose_comparison_paper,1,0,0,1
573,hellosoni/finalproject,0,0,0,1
574,heragaji/make_rep_database,1,2,2,2
575,ChaissonLab/danbing-tk,1,13,13,4
576,qfort/Projet_reprohackaton,0,0,0,2
577,mw55309/MAGCloudCosts,0,0,0,3
578,harlydurbin/bovine_demo,0,0,0,1
579,arielgalindoalbarran/Epromoters,1,2,2,5
580,bioxfu/ChIP-Seq,0,1,1,1
581,YanisChrys/borrelia_workflow,1,1,1,1
582,imilenkovic/cDNA_DESeq2,0,0,0,1
583,pachterlab/PCCA,2,17,17,5
584,SimranChhabria/miRNA-FeatureCounts,0,0,0,1
585,dlsrnsi/snakemake_tutorial,1,4,4,2
586,standage/noble,0,0,0,0
587,vrmarcelino/MetaModels,0,0,0,1
588,Tina04021997/How-to-RNAseq,0,0,0,1
589,jmeppley/np_read_clustering,0,0,0,1
590,alexzaccaron/2021_pms_mt,0,0,0,1
591,broadinstitute/CRISPRiTilingDesign,0,1,1,6
592,plantgenomicslab/ALLHiC_Pipeline,0,2,2,3
593,fw262/TAR-scRNA-seq,5,8,8,3
594,xiaoyan-xu/snakemakefile,0,0,0,1
595,ecalfee/hilo,1,3,3,2
596,opentargets/genetics-v2g-data,6,6,6,12
597,MeHelmy/covid-pipeline,0,5,5,2
598,dbrg77/plate_scATAC-seq,14,38,38,5
599,razielar/Identification-of-de-novo-lncRNA-genes,0,0,0,0
600,dahjan/OAS-MiXCR-pipeline,0,0,0,1
601,leboralli/pipeline_ncrna,0,0,0,0
602,willpitchers/Coreugate,0,1,1,1
603,kauralasoo/macrophage-tuQTLs,2,1,1,4
604,drdiran/DNA_Seq_GATK_snakemake,0,0,0,1
605,jiyideanjiao/Alkaline_Adaptation,0,1,1,1
606,MDU-PHL/Coreugate,0,1,1,5
607,fcarelli/glre,0,0,0,1
608,straightlab/xenla-cen-dna-paper,0,0,0,3
609,fcarelli/glre,0,0,0,1
610,ajtock/Wheat_DMC1_ASY1_paper,0,0,0,2
611,mortazavilab/polyAsite_workflow_GM12878,0,0,0,2
612,hennlab/snake-IBDne,0,0,0,4
613,songlab-cal/scquint,0,1,1,3
614,tesa1/gbuild_check,0,0,0,1
615,mestill7/HiC-fast,0,1,1,1
616,SamStudio8/reticulatus,5,61,61,7
617,liluacrobat/Shotgun_inStrain,0,0,0,1
618,hchyang/PSiTE,2,9,9,3
619,dantaki/snakemake_tutorial,0,1,1,1
620,liulab-dfci/CHIPS,3,12,12,2
621,willrosenow/RNA-seq-snakemake,2,1,1,1
622,montpetitlab/Aguilar_and_Paul_et_al_2020,1,0,0,1
623,betts-lab/scc-proc,0,0,0,2
624,liulab-dfci/CHIPS,3,12,12,2
625,Mira0507/snakemake_star,0,0,0,1
626,algbio/panvc-sample-workflow,0,0,0,6
627,NLM-Reproducibility-Project/Repro_PMID_29940028,0,1,1,6
628,LUMC/gnomad-merge,0,0,0,2
629,naturalis/brassicaceae-hybseq-pipeline,1,4,4,12
630,liulab-dfci/CHIPS,3,12,12,2
631,amholtz/snakemake_rabies,0,0,0,2
632,ecalfee/hilo,1,3,3,2
633,filcfig/PCP,0,0,0,3
634,WatsonLab/GoogleMAGs,2,1,1,3
635,bioxfu/RNA-Seq,2,4,4,2
636,skelviper/BubbleCluster,0,1,1,1
637,tijeco/FUSTr,3,5,5,3
638,Finn-Lab/skin_microbiome,0,0,0,3
639,andreashoek/wasp,0,2,2,1
640,shu251/tagseq-qiime2-snakemake,7,10,10,2
641,StructVarGA/polledHiC,2,1,1,1
642,gradonion/ATACseq_pipeline,0,3,3,0
643,LUMC/HAMLET,3,3,3,3
644,dst-umms/MAMBA,1,0,0,4
645,eanbit-rt/ReproducibleResearch,4,0,0,2
646,shigdon/snakemake_mucilage-isolates,0,0,0,2
647,xindong95/DEAP,1,0,0,1
648,sebpott/dropseq_pipeline,0,0,0,4
649,ctb/2021-sourmash-greymake,0,0,0,1
650,pablo-gar/somatic_mutations_GTEx,12,9,9,1
651,sebpott/dropseq_pipeline,0,0,0,4
652,masterSplinter01/biopipeline,0,0,0,1
653,fcarelli/glre,0,0,0,1
654,idolawoye/BAGEP,1,4,4,0
655,mlweilert/chipnexus-processing-scripts,0,1,1,0
656,agata-sm/5433_read_processing_pipelines,0,0,0,1
657,asmmhossain/phlow,0,0,0,1
658,osome-iu/misinfo-partisanship-hksmisinforeview-2021,3,3,3,2
659,paulimer/RNA-seq-analysis-pipeline,1,0,0,1
660,evolbioinfo/zika_Vietnam,0,0,0,4
661,zavolanlab/SCUREL,1,2,2,5
662,bioxfu/BS-Seq2,0,1,1,2
663,fcarelli/glre,0,0,0,1
664,sterrettJD/Nicotine-Microbiome,0,0,0,1
665,CJREID/snplord,1,1,1,2
666,aineniamh/artic-noro,2,0,0,1
667,mgildea87/RNAseq_PE_HISAT2_stringtie_novel_transcripts,0,0,0,1
668,AlgoLab/MALVIRUS-data,0,0,0,8
669,longread-well/bakeoff,1,1,1,4
670,itatop/popsimenv,0,0,0,2
671,troyrowan/imputation-pipeline,0,0,0,1
672,alexhbnr/effect_aDNAdamage_denovoassembly,1,1,1,1
673,ahryho/snakemake-tutorial,0,0,0,1
674,samleenz/variant-calling,0,0,0,0
675,vodkatad/WXS_SNV,0,0,0,2
676,fingerfen/WES_Short_Variant_and_CNV_Pipeline,0,0,0,1
677,xuzhougeng/auto_sra_rnaseq_pipeline,0,2,2,1
678,baymlab/2020_Owen-BstA,0,2,2,4
679,songlab-cal/scquint,0,1,1,3
680,cjsifuen/Basic-Bulk-RNA-seq-Workflow,0,0,0,1
681,mmchaouchi/Cloud,0,0,0,1
682,BleekerLab/rnaseq-analysis-kallisto-sleuth,0,0,0,2
683,jmonlong/pangenome-evaluation,0,9,9,4
684,gp7-sanger/RNA_seq_course2020,0,0,0,1
685,kmgibson/FONTANA,2,0,0,0
686,LIniguez/Snakemaketest,0,1,1,1
687,thw17/ASU_BIO543_Genome_Assembly_2018,0,3,3,2
688,bergeycm/rhg-convergence-analysis,2,2,2,1
689,alexzaccaron/2021_enec_mt,0,0,0,1
690,supernifty/msi-diff,0,0,0,1
691,cyouh95/mRNA_seq_pipeline,0,1,1,2
692,eclarke/sisyphus,0,0,0,1
693,Ducklegs17/tigersnakes,0,0,0,1
694,Carroll-Lab/can_seq,0,0,0,2
695,evolbioinfo/HIV1-CRF19_Cuba,0,0,0,3
696,liutiming/snakemake-workshop-files,0,0,0,1
697,lasersonlab/phip-stat,8,7,7,4
698,umich-iwase-lab/Apricot,1,1,1,3
699,BleekerLab/genotype_from_rnaseq,0,0,0,2
700,EichlerLab/pbsv,0,3,3,2
701,linsalrob/atavide,0,2,2,2
702,CGI-stLFR/CGI_de_novo_sim_Pipeline,0,0,0,2
703,Miachol/hamlet,0,0,0,2
704,elimoss/lathe,2,8,8,0
705,silastittes/slim_bgs,0,0,0,1
706,okartal/population_epigenetics,0,1,1,1
707,liangyy/deep_variant_annotation,0,0,0,3
708,MigleSur/Pactyper,0,0,0,0
709,evolbioinfo/phylocovid,0,3,3,3
710,dfloresDIL/MEGA,0,1,1,0
711,naturalis/brassicaceae-hybseq-pipeline,1,4,4,12
712,ORU-BIOI/rna-seq-workflow,1,0,0,3
713,kpalin/VirusIntegrationFinder,0,1,1,2
714,sschmutz/thesis-workflow,0,0,0,1
715,davemcg/NGS_genotype_calling,3,1,1,2
716,pablo-gar/somatic_mutations_GTEx,12,9,9,1
717,XianXin0418/SWORD-pipeline,0,0,0,0
718,ChaissonLab/danbing-tk,1,13,13,4
719,fcarelli/glre,0,0,0,1
720,jfear/ncbi_remap,0,1,1,4
721,thw17/Sifaka_assembly,0,2,2,2
722,arushiv/islet_cage,2,0,0,2
723,nextstrain/enterovirus_d68,4,0,0,9
724,fennerm/megadaph,1,0,0,1
725,andersonbrito/ncov,2,2,2,3
726,pablo-gar/somatic_mutations_GTEx,12,9,9,1
727,lculibrk/Ploidetect-pipeline,0,0,0,4
728,iossifovlab/snakeobjectsTutorial,0,0,0,1
729,MostafaYA/snakeNullarbor,1,1,1,2
730,nextstrain/dengue,4,2,2,9
731,bioinformatics-polito/PhyliCS_usage,0,1,1,2
732,mgalland/neurofjacobs,3,0,0,1
733,AroArz/Abrigahit,1,0,0,1
734,andersonbrito/subsampler,2,3,3,1
735,gagneurlab/OUTRIDER-analysis,1,1,1,3
736,infnttlab/biopipe,1,0,0,7
737,MaleloAS/Alice_MS,0,1,1,1
738,fabiopuddu/augur-fermentorum,0,1,1,2
739,jaimicore/JASPAR_2020,0,0,0,1
740,jfear/ncbi_remap,0,1,1,4
741,ngocemy/HBV_HCC_cancer,0,1,1,1
742,mydennislab/snake-chipseq,0,0,0,3
743,sztankatt/brandeis-secondment,0,0,0,1
744,dbrg77/plate_scATAC-seq,14,38,38,5
745,shenlab-sinai/NGS-Data-Charmer,1,0,0,3
746,LIniguez/Snakemaketest,0,1,1,1
747,pgpmartin/NanoBAC_pipeline,0,0,0,1
748,emmahodcroft/enterovirus_vp1,0,0,0,1
749,penglbio/RNA_Seq,0,0,0,1
750,liulab-dfci/CHIPS,3,12,12,2
751,kernco/deg_pipeline,1,1,1,3
752,ares-lab/assembler,0,0,0,3
753,eanbit-rt/ReproducibleResearch,4,0,0,2
754,shenlab-sinai/Isoseq_processing,0,0,0,2
755,sfrenk/variant_calling_pipeline,6,3,3,2
756,jbloomlab/SARS-CoV-2-RBD_MAP_clinical_Abs,3,2,2,2
757,PrincetonUniversity/msprime_scripts,0,0,0,1
758,pirovc/ganon_benchmark,0,1,1,0
759,akirosingh/BC1bulk-rnaseq,0,0,0,1
760,rmvpaeme/cfRRBS_manuscript,3,3,3,1
761,bpt26/tRAP,1,3,3,1
762,fcarelli/glre,0,0,0,1
763,recombinationlab/sciL3Pipe,0,1,1,2
764,Shmuppel/diagnostic-genome-analysis,0,0,0,1
765,liluacrobat/Shotgun_inStrain,0,0,0,1
766,fcarelli/glre,0,0,0,1
767,straightlab/xenla-cen-dna-paper,0,0,0,3
768,dmvandenberg/Snakemake-course-11,0,0,0,0
769,dgag0811/Snakemake-Diamond-Megan,0,1,1,1
770,ecalfee/hilo,1,3,3,2
771,maxlcummins/pipelord,1,3,3,3
772,bgbrink/PRJEB35632,1,0,0,1
773,banerjeeshayantan/C3G_testsnakemake,0,0,0,2
774,fcarelli/glre,0,0,0,1
775,vinay-swamy/ocular_transcriptomes_pipeline,0,2,2,0
776,Faitero/iCount_snakemake,0,0,0,1
777,eanbit-rt/ReproducibleResearch,4,0,0,2
778,twillis209/ldak_weights_pipeline,0,0,0,1
779,maxlcummins/pipelord,1,3,3,3
780,XianXin0418/SWORD-pipeline,0,0,0,0
781,bnovak1/MARTINI-DNA-tutorials,0,0,0,1
782,callumparr/ont_tutorial_transcriptome,0,1,1,1
783,deanpettinga/ecc_workflow,0,0,0,1
784,AlBi-HHU/genetic-polyploid-phasing-suppl-material,0,0,0,2
785,nate-d-olson/nist-sars-cov2-rtgm-seq,0,0,0,1
786,elimoss/metagenomics_workflows,12,15,15,0
787,fburic/candia,2,4,4,2
788,Ducklegs17/pacbio_clr,0,0,0,2
789,ahryho/snakemake-tutorial,0,0,0,1
790,alneberg/2015-04-BARM-Concoct,0,0,0,1
791,ecalfee/hilo,1,3,3,2
792,bioinformatics-leibniz-hki/DAnIEL,1,1,1,2
793,fcarelli/glre,0,0,0,1
794,jasminesmn/Snakemake,0,0,0,1
795,troyrowan/imputation-pipeline,0,0,0,1
796,fcarelli/glre,0,0,0,1
797,leahkemp/testing_seattleflu_assembly,0,0,0,1
798,xindong95/DEAP,1,0,0,1
799,amholtz/snakemake_rabies,0,0,0,2
800,Mass23/EUCI_microbiome,0,1,1,2
801,jmonlong/sv-nicu,0,4,4,1
802,mnavascues/ABC_TimeAdapt,2,1,1,1
803,dridk/tp_snakemake,3,4,4,3
804,longread-well/bakeoff,1,1,1,4
805,yuxuth/snakemake_RNAseq,0,0,0,1
806,rostkick/frameshift,0,0,0,1
807,mariele-lensink/PopDiff,0,0,0,1
808,lasersonlab/phip-stat,8,7,7,4
809,ALFLAG/Viral_Variant_Visualiser,0,2,2,1
810,daler/chromhmm-enhancers-umel,1,2,2,2
811,sailalithabollepalli/ChIPSeqAnalysis,0,0,0,0
812,Terkild/CITE-seq_optimization,1,8,8,2
813,HeyLifeHD/ScSnakeMeth,0,1,1,1
814,alexhbnr/mitoBench-ancientMT,0,3,3,2
815,Mass23/EUCI_microbiome,0,1,1,2
816,KoesGroup/Snakemake_plant_methylSeekR,0,0,0,2
817,MigleSur/BacDist,3,0,0,0
818,peter-yufan-zeng/AN_WGS_script,0,0,0,1
819,WilsonSayresLab/PopInf,1,1,1,2
820,Aexbrayat/snakevir,0,0,0,1
821,fcarelli/glre,0,0,0,1
822,jfear/sdic_query,0,0,0,2
823,vodkatad/snakegatk,0,1,1,1
824,yongchao/motrpac_rnaseq,2,1,1,4
825,sfrenk/variant_calling_pipeline,6,3,3,2
826,paulimer/RNA-seq-analysis-pipeline,1,0,0,1
827,scholtalbers/galaxy-genome-indexing,0,0,0,1
828,ashwini06/chipseq_pipeline,0,0,0,1
829,iqbal-lab-org/paper_gramtools_nesting,1,0,0,4
830,biorosetics/chipseq-snakemake,0,0,0,2
831,franciscozorrilla/metaGEM,21,72,72,3
832,maxlcummins/pipelord,1,3,3,3
833,eriqande/phase-chromosomes-snakeflow,0,0,0,1
834,bhattlab/bhattlab_workflows,12,35,35,10
835,yeroslaviz/bcfngs_Mapping_automation,0,0,0,1
836,vrmarcelino/MetaModels,0,0,0,1
837,jimkwon/nar2020,0,0,0,1
838,Bella2347/snakemake-sex-chr,2,1,1,1
839,vaquerizaslab/Ing-Simmons_et_al_dorsoventral_3D_genome,3,2,2,2
840,boasvdp/COMBAT,0,0,0,1
841,CVUA-RRW/RRW-PrimerBLAST,1,1,1,2
842,zhouhoo/wiki_zh_vec,2,8,8,2
843,yuxuth/snake_mRNA_v2,0,0,0,2
844,maxlcummins/pipelord,1,3,3,3
845,vindarbot/RNA_Seq_Pipeline,0,3,3,0
846,arushiv/regulatoryAnnotations_comparisons,1,1,1,2
847,sraorao/snakemake_cc_2021,0,1,1,2
848,fcarelli/glre,0,0,0,1
849,jbloomlab/SARS-CoV-2-RBD_MAP_S2K146,0,0,0,1
850,dst-umms/MAMBA,1,0,0,4
851,KoesGroup/Snakemake_salmon,1,0,0,3
852,csoeder/VolkanLab_BehaviorGenetics,0,0,0,2
853,arielgalindoalbarran/Epromoters,1,2,2,5
854,claireewilliams/SnakeMakeQIIMECW,0,0,0,1
855,fcarelli/glre,0,0,0,1
856,songlab-cal/scquint,0,1,1,3
857,mscharmann/sexdelim,0,1,1,2
858,CGI-stLFR/CGI_WGS_Pipeline,0,0,0,3
859,mscharmann/sexdelim,0,1,1,2
860,susheelbhanu/snakemake-tutorial,0,0,0,1
861,heragaji/make_rep_database,1,2,2,2
862,LUMC/hutspot,1,3,3,2
863,jessicalumian/fryxell-phormidium,0,1,1,0
864,vrmarcelino/MetaModels,0,0,0,1
865,bhattlab/bhattlab_workflows,12,35,35,10
866,mw55309/MAGCloudCosts,0,0,0,3
867,bioinformatics-leibniz-hki/DAnIEL,1,1,1,2
868,dst-umms/MAMBA,1,0,0,4
869,LupienLab/pipeline-bisulfite-sequencing,0,0,0,3
870,arushiv/regulatoryAnnotations_comparisons,1,1,1,2
871,mdjaffardjy/reprohackaton_2021,0,0,0,1
872,vrmarcelino/MetaModels,0,0,0,1
873,hanfeisun/viper-rnaseq,8,11,11,0
874,BF528/project-3-lava-lamp,1,0,0,2
875,LupienLab/pipeline-chromatin-accessibility,0,0,0,3
876,rostkick/frameshift,0,0,0,1
877,carbonelab/hic_workflow,0,0,0,1
878,wharvey31/megalodon-smk,0,0,0,1
879,dib-lab/sourmash-oddify,0,2,2,6
880,liutiming/snakemake-workshop-files,0,0,0,1
881,jbloomlab/SARS-CoV-2-RBD_MAP_LY-CoV555,1,1,1,2
882,mw55309/MAGCloudCosts,0,0,0,3
883,maxlcummins/pipelord,1,3,3,3
884,mdjaffardjy/reprohackaton_2021,0,0,0,1
885,linsalrob/PPPF,0,0,0,2
886,jlanga/smsk_smrtanalysis,1,0,0,2
887,pmenzel/score-assemblies,0,9,9,2
888,troyrowan/imputation-pipeline,0,0,0,1
889,LucoLab/ChIPSeQ,2,1,1,0
890,zavolanlab/polyAsite_workflow,1,8,8,2
891,davemcg/casey_to_gemini,0,0,0,2
892,chrishah/AMEB_HPC_Snakemake,0,0,0,1
893,josephhalstead/insilico_limit_of_detection,0,0,0,0
894,kmgibson/FONTANA,2,0,0,0
895,scottgigante/haplotyped-methylome,6,18,18,4
896,bhattlab/bhattlab_workflows,12,35,35,10
897,fcarelli/glre,0,0,0,1
898,jaimicore/JASPAR_2020,0,0,0,1
899,blab/cartography,1,1,1,5
900,jbloomlab/SARS-CoV-2-RBD_DMS,11,27,27,3
901,ajtock/Wheat_DMC1_ASY1_paper,0,0,0,2
902,iqbal-lab-org/paper_gramtools_nesting,1,0,0,4
903,ecalfee/hilo,1,3,3,2
904,aineniamh/artic-noro,2,0,0,1
905,StephenRicher/HiCFlow,0,0,0,1
906,trofimovamw/GInCovPipe,0,0,0,2
907,arushiv/islet_cage,2,0,0,2
908,crs/cnv-exomeseq,0,0,0,1
909,liluacrobat/Shotgun_inStrain,0,0,0,1
910,itatop/popsimenv,0,0,0,2
911,vrmarcelino/MetaModels,0,0,0,1
912,raivivek/Snakemake_WASP,0,0,0,1
913,daewoooo/IntegrativePhasingPaper,2,3,3,4
914,lasersonlab/phip-stat,8,7,7,4
915,bnovak1/MARTINI-DNA-tutorials,0,0,0,1
916,blab/cartography,1,1,1,5
917,RachelRodgers/VirusVariantViewR,2,0,0,0
918,phiweger/peek,1,1,1,1
919,naturalis/brassicaceae-hybseq-pipeline,1,4,4,12
920,boseHere/sRNA_snakemake_workflow,2,1,1,0
921,LUMC/HAMLET,3,3,3,3
922,nextstrain/ebola,7,2,2,17
923,gagneurlab/FRASER-analysis,3,8,8,3
924,rblemma/K562_Myb_ChIP-seq,0,0,0,1
925,arushiv/regulatoryAnnotations_comparisons,1,1,1,2
926,opentargets/genetics-v2d-data,4,8,8,10
927,bhattlab/bhattlab_workflows,12,35,35,10
928,nextstrain/measles,4,0,0,9
929,Tobi1kenobi/snakemake-workshop,0,0,0,1
930,harlydurbin/bovine_demo,0,0,0,1
931,jfear/ncbi_remap,0,1,1,4
932,mw55309/MAGCloudCosts,0,0,0,3
933,boasvdp/COMBAT,0,0,0,1
934,jimkwon/nar2020,0,0,0,1
935,d-henness/deseq2_project,0,0,0,1
936,Xavster838/assembly_validation,0,0,0,1
937,yh154/Pyup,0,0,0,1
938,evolbioinfo/zika_Vietnam,0,0,0,4
939,spaenigs/peptidereactor,1,4,4,1
940,Terkild/CITE-seq_optimization,1,8,8,2
941,Jyyin333/CLAPS-seq,0,0,0,1
942,bergeylab/simple-snakemake-example,0,0,0,2
943,tanaes/snakemake_kneaddata,1,0,0,2
944,sraorao/snakemake_code_clinic_2,0,2,2,2
945,jbloomlab/SARS-CoV-2-RBD_MAP_RBD-nano-vax-NHP1,0,0,0,2
946,fcarelli/glre,0,0,0,1
947,hennlab/snake-SNP_QC,0,2,2,2
948,eanbit-rt/ReproducibleResearch,4,0,0,2
949,longread-well/shortread-pipeline,0,0,0,2
950,peter-yufan-zeng/AN_WGS_script,0,0,0,1
951,Exenter/Comparing-two-RNAseq-analysis-tools-STAR-vs-Kallisto,0,0,0,1
952,vodkatad/WXS_SNV,0,0,0,2
953,COMBINE-lab/pufferfish_experiments,0,1,1,6
954,blab/cartography,1,1,1,5
955,creisle/mavis_biof501a,0,0,0,2
956,lcdb/lcdb-test-data,1,2,2,9
957,sraorao/snakemake_code_clinic_2,0,2,2,2
958,WilsonSayresLab/PopInf,1,1,1,2
959,halexand/BUSCO-MAG-Phylogeny,1,1,1,1
960,liluacrobat/Shotgun_inStrain,0,0,0,1
961,nextstrain/lassa,3,0,0,17
962,osvaldoreisss/public_trapseq,0,0,0,1
963,openbiome/donor-effects,0,0,0,2
964,mwort/snakemake_grass,0,1,1,2
965,blab/cartography,1,1,1,5
966,terrimporter/SCVUS_18S_metabarcode_pipeline,0,1,1,0
967,skinmicrobiome/skin_MAGs,1,4,4,1
968,nextstrain/cov,6,7,7,9
969,UofABioinformaticsHub/RNAseq_snakemake,0,12,12,15
970,lculibrk/canseq_pipeline,0,0,0,0
971,skingan/gc_cov_snake,0,0,0,1
972,nate-d-olson/engineering-bio-lacI-landscape,0,0,0,1
973,dbrg77/plate_scATAC-seq,14,38,38,5
974,itatop/popsimenv,0,0,0,2
975,vrmarcelino/MetaModels,0,0,0,1
976,NCBI-Hackathons/MassiveSeq,3,2,2,7
977,Mass23/EUCI_microbiome,0,1,1,2
978,chrishah/prepro,0,1,1,1
979,seb-mueller/snakemake_sRNAseq,0,0,0,1
980,bgbrink/PRJEB35632,1,0,0,1
981,bioxfu/virusExpress,0,0,0,2
982,phasegenomics/polar_star,0,9,9,3
983,bhattlab/bhattlab_workflows,12,35,35,10
984,eggleston-lab/Plumber,0,0,0,2
985,arunbodd/MultiQC_WES,0,0,0,1
986,vrmarcelino/MetaModels,0,0,0,1
987,bioinformatics-leibniz-hki/DAnIEL,1,1,1,2
988,vodkatad/snakegatk,0,1,1,1
989,montpetitlab/Aguilar_and_Paul_et_al_2020,1,0,0,1
990,mestill7/CutAndRun,1,0,0,1
991,bioxfu/RNA-Seq,2,4,4,2
992,WeiSong-bio/PocketChangeJ-pyflow-ChIPseq,0,0,0,0
993,Jyyin333/CLAPS-seq,0,0,0,1
994,vodkatad/snakegatk,0,1,1,1
995,yeroslaviz/bcfngs_Mapping_automation,0,0,0,1
996,vodkatad/snakegatk,0,1,1,1
997,jbloomlab/CoV_229E_antigenic_drift,1,3,3,2
998,dbrg77/scATAC_snakemake,4,11,11,3
999,amholtz/snakemake_rabies,0,0,0,2
1000,thw17/Mayo_breast_cancer_heterogeneity_assembly,0,0,0,4
1001,emdann/HexamerBias,0,1,1,2
1002,EichlerLab/sniffles,0,2,2,2
1003,aryarm/as_analysis,7,6,6,2
1004,mw55309/MAGCloudCosts,0,0,0,3
1005,AidanMar/GSoC-2021-compara-deep-learning,2,1,1,2
1006,liluacrobat/Shotgun_inStrain,0,0,0,1
1007,aganezov/EnsemblePLInternal,0,0,0,1
1008,songlab-cal/scquint,0,1,1,3
1009,anthfm/ExomeProcess,0,1,1,1
1010,dbrg77/plate_scATAC-seq,14,38,38,5
1011,ryhui/imputation-pipeline,1,6,6,2
1012,bhattlab/kraken2_classification,8,40,40,4
1013,marcjwilliams1/hscn_pipeline,0,0,0,1
1014,cademirch/Track-Hub-Maker,0,0,0,1
1015,liulab-dfci/MAESTRO,59,208,208,12
1016,peter-yufan-zeng/AN_WGS_script,0,0,0,1
1017,pkozyulina/pea2018_pipeline,0,0,0,0
1018,evolbioinfo/HIV1-CRF19_Cuba,0,0,0,3
1019,bhaddow/pmindia-crawler,2,11,11,2
1020,fabiopuddu/augur-fermentorum,0,1,1,2
1021,arushiv/regulatoryAnnotations_comparisons,1,1,1,2
1022,ashwini06/chipseq_pipeline,0,0,0,1
1023,pablo-gar/somatic_mutations_GTEx,12,9,9,1
1024,ding-lab/cptac_rna_expression,0,1,1,21
1025,conchoecia/hormiphora,0,0,0,3
1026,fburic/candia,2,4,4,2
1027,jbloomlab/SARS-CoV-2-RBD_MAP_Moderna,0,1,1,2
1028,terrimporter/SCVUIU_ITS_metabarcode_pipeline,0,1,1,1
1029,arushiv/regulatoryAnnotations_comparisons,1,1,1,2
1030,luslab/psiclip,0,1,1,11
1031,grubaughlab/ncov,1,0,0,3
1032,UvA-MAD/NGS-pipelines,1,0,0,4
1033,luslab/psiclip,0,1,1,11
1034,troyrowan/imputation-pipeline,0,0,0,1
1035,yiwen99/kallisto-quant-on-small-sample,0,0,0,0
1036,NBISweden/LTS-A_Andersson_2010-MASCSEQ,0,0,0,32
1037,natir/yacrd-and-fpa-upstream-tools-for-lr-genome-assembly,0,0,0,1
1038,longread-well/shortread-pipeline,0,0,0,2
1039,scottgigante/haplotyped-methylome,6,18,18,4
1040,UvA-MAD/NGS-pipelines,1,0,0,4
1041,arvestad/accuracy_in_prime,0,0,0,1
1042,oskarvid/snakemake-intro,1,0,0,1
1043,pmonnahan/CanSel,0,1,1,1
1044,fcarelli/glre,0,0,0,1
1045,huddlej/example-nextstrain-workflow,0,1,1,1
1046,hardingnj/snakeit,1,0,0,1
1047,tanaes/snakemake_anvio,3,9,9,3
1048,tyh-19/cfRNAseq,0,1,1,1
1049,aisakova/smart-seq-total,1,4,4,1
1050,alexzaccaron/2021_pms_mt,0,0,0,1
1051,BrandonJRomano/initialRNAseq_snakemake,0,0,0,1
1052,maxlcummins/pipelord,1,3,3,3
1053,kkchau/RNAseq_Pipeline,2,2,2,2
1054,jeongdo801/scNOVA,1,1,1,1
1055,bioxfu/ChIP-Seq,0,1,1,1
1056,pablo-gar/somatic_mutations_GTEx,12,9,9,1
1057,fcarelli/glre,0,0,0,1
1058,kircherlab/CADD-SV,2,6,6,2
1059,vodkatad/WXS_SNV,0,0,0,2
1060,SydneyBioX/RNASeq,2,2,2,8
1061,opentargets/genetics-v2g-data,6,6,6,12
1062,jmueller95/deepgrind,0,0,0,1
1063,natir/yacrd-and-fpa-upstream-tools-for-lr-genome-assembly,0,0,0,1
1064,roshnipatel/LocalAncestry,1,0,0,2
1065,jaimicore/JASPAR_2020,0,0,0,1
1066,vodkatad/snakegatk,0,1,1,1
