,contributor,nb_wf,list_wf
952,kviljoen,8,"{'harleenduggal/nfcore-rnaseq', 'HPCBio/16S-rDNA-dada2-pipeline', 'harleenduggal/RNASEQ', 'kviljoen/16S_quick_QC', 'alam1988/Nextflow', 'kviljoen/fastq_QC', 'junyu-boston/dicerna-rnaseq', 'nf-core/rnaseq'}"
755,veeravalli,8,"{'gis-rpd/rpd-rnaseq', 'harleenduggal/nfcore-rnaseq', 'eQTL-Catalogue/rnaseq', 'harleenduggal/RNASEQ', 'alam1988/Nextflow', 'gis-rpd/rpd-sg10k-grch38-gatk4-gvcf-freebayes-vcf', 'junyu-boston/dicerna-rnaseq', 'nf-core/rnaseq'}"
687,toniher,8,"{'biocorecrg/SIB_course_nextflow_Nov_2021', 'biocorecrg/PHIND_course_nextflow_Feb_2022', 'biocorecrg/ELIXIR_containers_nextflow', 'biocorecrg/CoursesCRG_Containers_Nextflow_May_2021', 'biocorecrg/BioNextflow', 'biocorecrg/C4LWG-2018', 'proteomicsunitcrg/qcloud2-pipeline', 'biocorecrg/vectorQC'}"
241,pranathivemuri,8,"{'harleenduggal/nfcore-rnaseq', 'harleenduggal/RNASEQ', 'czbiohub/nf-predictorthologs', 'czbiohub/nf-unsplicedcds', 'alam1988/Nextflow', 'nf-core/kmermaid', 'junyu-boston/dicerna-rnaseq', 'nf-core/rnaseq'}"
571,jfy133,8,"{'maxibor/coproID', 'nf-core/mag', 'nf-core/eager', 'jfy133/archaeodiet', 'nf-core/modules', 'nf-core/taxprofiler', 'maxibor/madman', 'nf-core/funcscan'}"
430,nalcala,8,"{'Monia234/IARC-alignement', 'IARCbioinfo/fastqc-nf', 'IARCbioinfo/table_annovar-nf', 'IARCbioinfo/qualimap-nf', 'IARCbioinfo/NGSCheckMate-nf', 'Monia234/IARC-fastqc', 'IARCbioinfo/strelka2-nf', 'IARCbioinfo/BQSR-nf'}"
789,szilvajuhos,8,"{'nf-core/sarek', 'sickle-in-africa/saw.sarek', 'sripaladugu/germline_somatic', 'Genomic-Medicine-Linkoping/nf-core-sarek', 'GMS6804-master/Sarek', 'melnel000/Sarek_CBIO', 'UMCUGenetics/sarek_ubec', 'nf-core/rnafusion'}"
257,phue,8,"{'nf-core/methylseq', 'nf-core/eager', 'nf-core/modules', 'phue/GWAS-nf', 'Gregor-Mendel-Institute/aradeepopsis', 'phue/aradeepopsis', 'FAANG/GSM-pipeline', 'Gregor-Mendel-Institute/kWIP-nf'}"
942,kauralasoo,7,"{'eQTL-Catalogue/genimpute', 'eQTL-Catalogue/rnaseq', 'letaylor/qtlmap', 'eQTL-Catalogue/qcnorm', 'eQTL-Catalogue/genotype_qc', 'eQTL-Catalogue/colocalisation', 'eQTL-Catalogue/qtlmap'}"
315,katiesevans,7,"{'AndersenLab/genomes-nf', 'AndersenLab/alignment-nf', 'AndersenLab/post-gatk-nf', 'AndersenLab/wi-gatk', 'AndersenLab/annotation-nf', 'AndersenLab/scan2-nf', 'AndersenLab/nil-ril-nf'}"
286,jianhong,7,"{'jianhong/universalModule', 'jianhong/16S_pipeline', 'nf-core/modules', 'jianhong/shotgun', 'jianhong/nf-core-hicar', 'jianhong/ATACseqQCnextflow', 'jianhong/nextflowTutorial'}"
521,senthil10,7,"{'harleenduggal/nfcore-rnaseq', 'eQTL-Catalogue/rnaseq', 'harleenduggal/RNASEQ', 'alam1988/Nextflow', 'junyu-boston/dicerna-rnaseq', 'nf-core/rnaseq', 'nf-core/exoseq'}"
823,lconde-ucl,7,"{'nf-core/sarek', 'sickle-in-africa/saw.sarek', 'UCL-BLIC/rnaseq_variant_calling', 'sripaladugu/germline_somatic', 'Genomic-Medicine-Linkoping/nf-core-sarek', 'UCL-BLIC/wgsalign', 'UMCUGenetics/sarek_ubec'}"
81,brucemoran,7,"{'brucemoran/tumour_only', 'brucemoran/somatic_n-of-1', 'brucemoran/nanopore_gDNA_CNA', 'brucemoran/batch_somatic', 'brucemoran/DNAseq_references', 'brucemoran/RNAseq_kallisto', 'cgpu/somatic_exome_n-of-1'}"
1039,sk-sahu,7,"{'lifebit-ai/prs', 'lifebit-ai/drs-nf', 'TheJacksonLaboratory/splicing-pipelines-nf', 'nf-core/scrnaseq', 'codingene/nextflow-base', 'lifebit-ai/htslib-s3-nf', 'Shicheng-Guo/gwasgsa'}"
669,ypriverol,7,"{'BlackburnLab/pgdb', 'BlackburnLab/nfcorepgdb', 'bigbio/pgdb', 'nf-core/proteomicslfq', 'bigbio/proteomicstmt', 'bigbio/nf-workflows', 'bigbio/quantms'}"
525,erikrikarddaniel,7,"{'nf-core/ampliseq', 'LNUc-EEMiS/metatdenovo-dsl1', 'nf-core/modules', 'LNUc-EEMiS/magmap', 'erikrikarddaniel/magmap', 'erikrikarddaniel/pfitmap-nextflow', 'bioatlas/ampliflow'}"
1040,kerimoff,7,"{'eQTL-Catalogue/genimpute', 'eQTL-Catalogue/rnaseq', 'letaylor/qtlmap', 'eQTL-Catalogue/qcnorm', 'eQTL-Catalogue/colocalisation', 'kerimoff/qtlquant', 'eQTL-Catalogue/qtlmap'}"
156,jiangweiyao,7,"{'jiangweiyao/coregenome_align_nf', 'jiangweiyao/sra_mash_nf', 'jiangweiyao/metaphlan_nf', 'jiangweiyao/paramsReadernf2', 'jiangweiyao/RefNAAP_nf', 'jiangweiyao/kraken2_biom_nf', 'jiangweiyao/quaisar_nf'}"
230,stekaz,7,"{'ampatchlab/nf-dnaseq', 'ampatchlab/nf-pdx', 'ampatchlab/nf-rnasnv', 'ampatchlab/nf-bam2fastq', 'ampatchlab/nf-typeHLA', 'ampatchlab/nf-isoseq', 'ampatchlab/nf-rnaseq'}"
498,luisas,7,"{'Biocentric/DeepVariantNF', 'lifebit-ai/DeepVariantTrain', 'lifebit-ai/strelka2', 'lifebit-ai/DeepVariantWGS', 'lifebit-ai/kallisto-sra', 'lifebit-ai/freebayes', 'lifebit-ai/DeepVariant'}"
607,davidealbanese,7,"{'metashot/busco', 'metashot/prok-quality', 'metashot/prok-annotate', 'metashot/prok-pan', 'metashot/prok-snp', 'metashot/mag-illumina', 'metashot/kraken2'}"
591,malinlarsson,7,"{'nf-core/sarek', 'sickle-in-africa/saw.sarek', 'sripaladugu/germline_somatic', 'Genomic-Medicine-Linkoping/nf-core-sarek', 'GMS6804-master/Sarek', 'melnel000/Sarek_CBIO', 'UMCUGenetics/sarek_ubec'}"
510,ggrimes,6,"{'ggrimes/clair_nf', 'ggrimes/ttseq', 'ggrimes/nf_fastqc', 'ggrimes/nextflow_rnaseq_training_dataset', 'ggrimes/crispy-chainsaw', 'ggrimes/nf-fastp'}"
385,na399,6,"{'harleenduggal/nfcore-rnaseq', 'eQTL-Catalogue/rnaseq', 'harleenduggal/RNASEQ', 'alam1988/Nextflow', 'nf-core/rnaseq', 'junyu-boston/dicerna-rnaseq'}"
602,alemenze,6,"{'alemenze/ONT-multi-assembly', 'alemenze/magicuniqueamplicons', 'alemenze/Illumina-ShotgunQuant', 'alemenze/bact-builder', 'alemenze/ONT-basecalling', 'alemenze/ONT-polish'}"
423,jordwil,6,"{'harleenduggal/nfcore-rnaseq', 'harleenduggal/RNASEQ', 'alam1988/Nextflow', 'jordwil/nextflow-bowtie2', 'nf-core/rnaseq', 'junyu-boston/dicerna-rnaseq'}"
121,valleem,6,"{'IARCbioinfo/gatk4-DataPreProcessing-nf', 'IARCbioinfo/qualimap-nf', 'IARCbioinfo/gatk4-GenotypeGVCFs-nf', 'IARCbioinfo/NGSCheckMate-nf', 'IARCbioinfo/gatk4-HaplotypeCaller-nf', 'Monia234/gatk4-GenotypeGVCFs-IARC'}"
812,Galithil,6,"{'harleenduggal/nfcore-rnaseq', 'eQTL-Catalogue/rnaseq', 'harleenduggal/RNASEQ', 'alam1988/Nextflow', 'nf-core/rnaseq', 'junyu-boston/dicerna-rnaseq'}"
857,rfenouil,6,"{'harleenduggal/nfcore-rnaseq', 'eQTL-Catalogue/rnaseq', 'harleenduggal/RNASEQ', 'alam1988/Nextflow', 'nf-core/rnaseq', 'junyu-boston/dicerna-rnaseq'}"
165,xiaoli-dong,6,"{'ABMicroBioinf/magph', 'xiaoli-dong/pathogen', 'ABMicroBioinf/pathogen', 'ABMicroBioinf/nf-qc', 'ABMicroBioinf/nf-tb', 'xiaoli-dong/magph'}"
858,j23414,6,"{'j23414/desc_workflows', 'j23414/wgcna_nf', 'j23414/compare_workflows', 'isugifNF/blast', 'isugifNF/freebayes', 'isugifNF/RNAseq'}"
731,matrulda,6,"{'harleenduggal/nfcore-rnaseq', 'FriederikeHanssen/bamtofastq', 'harleenduggal/RNASEQ', 'alam1988/Nextflow', 'nf-core/rnaseq', 'junyu-boston/dicerna-rnaseq'}"
1054,javaidm,6,"{'javaidm/layer_lab_somatic_sv', 'ryanlayerlab/layer_lab_caw', 'javaidm/layer_lab_dna_seq_vc', 'javaidm/obsolete_layer_lab_caw', 'javaidm/layer_lab_vc', 'ryanlayerlab/layer_lab_chco'}"
290,vezzi,6,"{'harleenduggal/nfcore-rnaseq', 'eQTL-Catalogue/rnaseq', 'harleenduggal/RNASEQ', 'alam1988/Nextflow', 'nf-core/rnaseq', 'junyu-boston/dicerna-rnaseq'}"
37,aanil,6,"{'harleenduggal/nfcore-rnaseq', 'eQTL-Catalogue/rnaseq', 'harleenduggal/RNASEQ', 'alam1988/Nextflow', 'nf-core/rnaseq', 'junyu-boston/dicerna-rnaseq'}"
451,alesssia,6,"{'nf-core/methylseq', 'alesssia/YAMP', 'GMS6804-master/YAMP', 'HadrienG/nanoflow', 'kviljoen/fastq_QC', 'FAANG/GSM-pipeline'}"
211,BABS-STP1,6,"{'harleenduggal/nfcore-rnaseq', 'harleenduggal/RNASEQ', 'alam1988/Nextflow', 'crickbabs/BABS-RNASeq', 'nf-core/rnaseq', 'junyu-boston/dicerna-rnaseq'}"
222,drejom,6,"{'harleenduggal/nfcore-rnaseq', 'harleenduggal/RNASEQ', 'alam1988/Nextflow', 'drejom/bam2fastq-nf', 'nf-core/rnaseq', 'junyu-boston/dicerna-rnaseq'}"
293,jun-wan,6,"{'harleenduggal/nfcore-rnaseq', 'eQTL-Catalogue/rnaseq', 'harleenduggal/RNASEQ', 'alam1988/Nextflow', 'nf-core/rnaseq', 'junyu-boston/dicerna-rnaseq'}"
1041,charles-plessy,6,"{'luslab/luslab-nf-modules', 'oist/plessy_Nextflow_SpliceLeaderCAGE', 'nf-core/eager', 'nf-core/modules', 'oist/plessy_CAGEscan_Nextflow', 'oist/plessy_draft_nf-busco'}"
295,jfnavarro,6,"{'nf-core/modules', 'nf-core/sarek', 'sickle-in-africa/saw.sarek', 'sripaladugu/germline_somatic', 'Genomic-Medicine-Linkoping/nf-core-sarek', 'UMCUGenetics/sarek_ubec'}"
717,mvanins,6,"{'harleenduggal/nfcore-rnaseq', 'harleenduggal/RNASEQ', 'mvanins/stress_granule_RNA_manuscript', 'alam1988/Nextflow', 'nf-core/rnaseq', 'junyu-boston/dicerna-rnaseq'}"
176,tdelhomme,6,"{'IARCbioinfo/fastqc-nf', 'tdelhomme/vcf_ancestry-nf', 'IARCbioinfo/table_annovar-nf', 'IARCbioinfo/qualimap-nf', 'Monia234/IARC-fastqc', 'IARCbioinfo/TCGA_platypus-nf'}"
329,cjfields,5,"{'h3abionet/node-accreditation', 'HPCBio/16S-rDNA-dada2-pipeline', 'nf-core/cutandrun', 'h3abionet/h3arefgraph', 'h3abionet/HPCBio-Refgraph_pipeline'}"
890,danielecook,5,"{'AndersenLab/variant-simulations-nf', 'AndersenLab/genomes-nf', 'AndersenLab/wi-gatk', 'AndersenLab/alignment-nf', 'AndersenLab/nil-ril-nf'}"
1003,Midnighter,5,"{'nf-core/modules', 'UnseenBio/shotgun-qc-nf', 'UnseenBio/build-sourmash-index', 'UnseenBio/bracken-nf', 'nf-core/funcscan'}"
553,lindaxiang,5,"{'icgc-argo-workflows/open-access-variant-filtering', 'icgc-argo-workflows/sanger-wgs-variant-calling', 'icgc-argo-workflows/sanger-wxs-variant-calling', 'icgc-argo-workflows/dna-seq-processing-wfs', 'icgc-argo-workflows/nextflow-data-processing-utility-tools'}"
896,ppericard,5,"{'harleenduggal/nfcore-rnaseq', 'harleenduggal/RNASEQ', 'alam1988/Nextflow', 'nf-core/rnaseq', 'junyu-boston/dicerna-rnaseq'}"
326,Vlad-Dembrovskyi,5,"{'lifebit-ai/relate', 'TheJacksonLaboratory/Star_indices', 'TheJacksonLaboratory/splicing-pipelines-nf', 'lifebit-ai/pcgr-nf', 'lifebit-ai/DeepVariant'}"
826,thanhleviet,5,"{'nf-core/bactmap', 'thanhleviet/nf-nanopore-assembly', 'nf-core/modules', 'connor-lab/ncov2019-artic-nf', 'food-safety-bioinformatics-hackathon/benchmarking-refseq'}"
753,priesgo,5,"{'TRON-Bioinformatics/tronflow-mutect2', 'TRON-Bioinformatics/tronflow-haplotype-caller', 'TRON-Bioinformatics/tronflow-bam-preprocessing', 'TRON-Bioinformatics/tronflow-template', 'TRON-Bioinformatics/covigator-ngs-pipeline'}"
341,fmaguire,5,"{'fmaguire/mag_binning_workflow', 'fmaguire/filter_flow', 'fmaguire/diamond_workflow', 'bactopia/bactopia', 'fmaguire/mag_sweep'}"
936,jburos,5,"{'harleenduggal/nfcore-rnaseq', 'harleenduggal/RNASEQ', 'alam1988/Nextflow', 'nf-core/rnaseq', 'junyu-boston/dicerna-rnaseq'}"
972,HadrienG,5,"{'nf-core/mag', 'HadrienG/nanoflow', 'HadrienG/gwas_benchmarks', 'HadrienG/2018_coral_16S', 'HadrienG/arbetsprov'}"
138,mpozuelo,5,"{'mpozuelo/MGI_demux', 'mpozuelo/demultiplexing', 'mpozuelo/illumina_demux', 'mpozuelo/exome_mosdepth', 'mpozuelo/QC_demux'}"
224,adigenova,5,"{'IARCbioinfo/bam2cram', 'IARCbioinfo/purple-nf', 'IARCbioinfo/NGSCheckMate-nf', 'IARCbioinfo/nf-gene-fusions', 'Monia234/IARC-RNA-seq'}"
605,zxl124,5,"{'harleenduggal/nfcore-rnaseq', 'harleenduggal/RNASEQ', 'alam1988/Nextflow', 'nf-core/rnaseq', 'junyu-boston/dicerna-rnaseq'}"
852,SpikyClip,5,"{'harleenduggal/nfcore-rnaseq', 'harleenduggal/RNASEQ', 'SpikyClip/llrnaseq', 'nf-core/rnaseq', 'Lewsey-Lab/lims-rnaseq'}"
593,replikation,5,"{'RVanDamme/MUFFIN', 'nanozoo/wf_prepare_submission_dammit', 'replikation/docker_pipelines', 'replikation/blastn_so_hot', 'replikation/poreCov'}"
929,Amanj1,5,"{'Amanj1/Discovery2', 'Amanj1/TTV-primer-analysis', 'Amanj1/PhyloProtTTV', 'Amanj1/TTVnucleoTranslations', 'Amanj1/variantSeeker'}"
302,mamanambiya,5,"{'mamanambiya/phasing_vcf_eagle', 'mamanambiya/popfreqs', 'h3abionet/popfreqs', 'h3abionet/recalling', 'h3abionet/chipimputation_evaluate_chips'}"
681,Emiller88,5,"{'harleenduggal/nfcore-rnaseq', 'nf-core/modules', 'NCBI-Codeathons/lung-rna-seq', 'harleenduggal/RNASEQ', 'nf-core/rnaseq'}"
469,Mxrcon,5,"{'Mxrcon/Nextflow-study', 'Mxrcon/Savio_alignments_nf', 'nf-core/modules', 'Mxrcon/Gustavo_protein_anotation_nf', 'bactopia/bactopia'}"
74,orionzhou,5,"{'harleenduggal/nfcore-rnaseq', 'harleenduggal/RNASEQ', 'alam1988/Nextflow', 'nf-core/rnaseq', 'junyu-boston/dicerna-rnaseq'}"
75,paulklemm,5,"{'harleenduggal/nfcore-rnaseq', 'harleenduggal/RNASEQ', 'alam1988/Nextflow', 'nf-core/rnaseq', 'junyu-boston/dicerna-rnaseq'}"
682,junjun-zhang,5,"{'icgc-argo-workflows/icgc-argo-sv-copy-number', 'icgc-argo-workflows/sanger-wgs-variant-calling', 'icgc-argo-workflows/sanger-wxs-variant-calling', 'icgc-argo-workflows/dna-seq-processing-wfs', 'icgc-argo-workflows/nextflow-data-processing-utility-tools'}"
473,esrice,5,"{'WarrenLab/longread-svs-nf', 'WarrenLab/shortread-polish-nf', 'WarrenLab/longread-polish-nf', 'esrice/workflows', 'WarrenLab/purge-haplotigs-nf'}"
67,antunderwood,5,"{'antunderwood/nextflow-aws-batch-issue-1024', 'nf-core/bactmap', 'nf-core/modules', 'antunderwood/amr_prediction', 'nf-core/viralrecon'}"
475,imendes93,5,"{'imendes93/sv-nf', 'lifebit-ai/bam2cram', 'imendes93/ReleaseTheKraken', 'lifebit-ai/pcgr-nf', 'lifebit-ai/ReleaseTheKraken'}"
802,davidmasp,5,"{'nf-core/sarek', 'sickle-in-africa/saw.sarek', 'sripaladugu/germline_somatic', 'Genomic-Medicine-Linkoping/nf-core-sarek', 'UMCUGenetics/sarek_ubec'}"
497,amayer21,5,"{'harleenduggal/nfcore-rnaseq', 'harleenduggal/RNASEQ', 'alam1988/Nextflow', 'nf-core/rnaseq', 'junyu-boston/dicerna-rnaseq'}"
690,silviamorins,5,"{'harleenduggal/nfcore-rnaseq', 'harleenduggal/RNASEQ', 'alam1988/Nextflow', 'nf-core/rnaseq', 'junyu-boston/dicerna-rnaseq'}"
25,adrlar,5,"{'nf-core/sarek', 'sickle-in-africa/saw.sarek', 'sripaladugu/germline_somatic', 'Genomic-Medicine-Linkoping/nf-core-sarek', 'UMCUGenetics/sarek_ubec'}"
420,brwnj,5,"{'brwnj/upward', 'quinlan-lab/preon', 'brwnj/seqcover-nf', 'brwnj/freebayes-nf', 'BigelowLab/gorg-classifier'}"
658,grbot,5,"{'HPCBio/16S-rDNA-dada2-pipeline', 'grbot/nf-core-test', 'grbot/nf-core-example', 'h3abionet/recalling', 'grbot/run-fastqc'}"
85,remiolsen,5,"{'nf-core/cookiecutter', 'remiolsen/hicscaff', 'remiolsen/outlaw', 'remiolsen/nf-core-radseq', 'nf-core/neutronstar'}"
1056,MGordon09,5,"{'nibscbioinformatics/nf-core-bagobugs', 'nf-core/modules', 'nibscbioinformatics/nf-core-buggybarcodes', 'MGordon09/nf-core-bagobugs', 'MGordon09/nf-core-buggybarcodes'}"
801,ajodeh-juma,4,"{'ajodeh-juma/rvfvtyping', 'ajodeh-juma/viclara', 'nf-core/modules', 'Vikash84/viclara'}"
983,cmatKhan,4,"{'cmatKhan/rnaseq_pipeline_rewrite', 'cmatKhan/brentlab_rnaseq_nf', 'cmatKhan/bartNPNF', 'cmatKhan/nf-core-rw'}"
1046,CharlotteAnne,4,"{'luslab/nf-clip', 'goodwright/imaps-nf', 'nf-core/clipseq', 'luslab/nf-core-modules'}"
285,lwratten,4,"{'lwratten/nf_example', 'nf-core/nanoseq', 'lwratten/nanorna', 'lwratten/nanorna-bam'}"
158,gn5,4,"{'wtsi-hgi/nf_irods_to_lustre', 'wtsi-hgi/nextflow_ci', 'wtsi-hgi/nf_scrna_deconvolution', 'wtsi-hgi/nextflow-pipelines'}"
49,c-mertes,4,"{'nf-core/modules', 'harleenduggal/RNASEQ', 'harleenduggal/nfcore-rnaseq', 'nf-core/rnaseq'}"
309,spficklin,4,"{'nf-core/modules', 'SystemsGenetics/transcript_corral', 'mmcogle/GEMmakerCam', 'SystemsGenetics/GEMmaker'}"
744,wtsi-mercury,4,"{'wtsi-hgi/nf_irods_to_lustre', 'wtsi-hgi/nextflow_ci', 'wtsi-hgi/nf_scrna_deconvolution', 'wtsi-hgi/nextflow-pipelines'}"
212,sguizard,4,"{'sguizard/nf-feelnc', 'sguizard/nf-core-tamanmd', 'nf-core/modules', 'sguizard/isoseq'}"
678,ATpoint,4,"{'ATpoint/sc_preprocess', 'ATpoint/nf_blank', 'ATpoint/atac_chip_preprocess', 'ATpoint/rnaseq_preprocess'}"
310,samlhao,4,"{'czbiohub/sc2-illumina-pipeline', 'samlhao/hgtsimulation', 'czbiohub/sc2-ngs-analysis', 'samlhao/nextflow-spid'}"
1051,pinin4fjords,4,"{'ebi-gene-expression-group/scanpy-workflow', 'ebi-gene-expression-group/isl_refs_to_refgenie', 'ebi-gene-expression-group/scxa-bundle-workflow', 'ebi-gene-expression-group/scxa-droplet-quantification-workflow'}"
280,mmeier93,4,"{'lifebit-ai/metagwas', 'lifebit-ai/simulate', 'lifebit-ai/prs', 'lifebit-ai/phewas'}"
69,glormph,4,"{'sickle-in-africa/saw.structural-variants', 'glormph/nf-core-lfquandenser', 'glormph/nf-core-labelcheck', 'glormph/nf-core-dda-quant-proteomics'}"
482,marc-jones,4,"{'marc-jones/nextflow-example', 'luslab/luslab-nf-modules', 'goodwright/imaps-nf', 'luslab/nf-core-modules'}"
360,marcodelapierre,4,"{'marcodelapierre/illumina-nf', 'marcodelapierre/demo-shpc-nf', 'marcodelapierre/trinity-nf', 'marcodelapierre/nanopore-nf'}"
58,alexthiery,4,"{'Streit-lab/streitlab-nf-modules', 'luslab/luslab-nf-modules', 'luslab/nf-clip', 'luslab/nf-core-modules'}"
641,fmalmeida,4,"{'nf-core/modules', 'fmalmeida/ngs-preprocess', 'fmalmeida/bacannot', 'fmalmeida/MpGAP'}"
587,k-florek,4,"{'wslh-bio/spriggan', 'wslh-bio/dryad', 'k-florek/mirkwater', 'UPHL-BioNGS/Cecret'}"
187,svarona,4,"{'BU-ISCIII/panelLowFreq-nf', 'rastiks/viralrecon', 'BU-ISCIII/SARS_Cov2_consensus-nf', 'nf-core/viralrecon'}"
20,amchakra,4,"{'luslab/luslab-nf-modules', 'luslab/nf-clip', 'nf-core/clipseq', 'luslab/nf-core-modules'}"
1035,caspargross,4,"{'caspargross/HybridAssembly', 'caspargross/nf-core-denovohybrid', 'imgag/plasmIDent', 'caspargross/plasmIDent'}"
350,saramonzon,4,"{'BU-ISCIII/panelLowFreq-nf', 'rastiks/viralrecon', 'BU-ISCIII/SARS_Cov2_consensus-nf', 'nf-core/viralrecon'}"
19,angelovangel,4,"{'replikation/poreCov', 'nf-core/bacass', 'angelovangel/nxf-fastqc', 'angelovangel/nxf-kraken2'}"
128,jambler24,4,"{'uct-cbio/bacterial_variant_calling', 'jambler24/bacterial_transcriptomics', 'h3abionet/h3arefgraph', 'jambler24/bac_pangenome'}"
137,mariach,4,"{'lifebit-ai/DeepVariantWGS', 'Biocentric/DeepVariantNF', 'lifebit-ai/DeepVariantTrain', 'lifebit-ai/DeepVariant'}"
340,Zethson,4,"{'subwaystation/pangenome', 'Leon-Bichmann/Phosphoproteomics', 'nf-core/proteomicslfq', 'jiangfuqing/CRISPR-Cas-off-target-identification'}"
926,faithman,4,"{'AndersenLab/SEmRNA-seq-nf', 'AndersenLab/wi-gatk', 'faithman/variant-nf', 'AndersenLab/alignment-nf'}"
660,liameabbott,4,"{'liameabbott/drop-seq-tools-pipeline', 'gates-mri-bioinformatics/reference-database', 'liameabbott/reference-database', 'liameabbott/bulk-rna-seq-pipeline'}"
503,olavurmortensen,4,"{'fargenfo/linkseq-demux', 'fargenfo/gatk-joint-genotyping', 'fargenfo/linkseq', 'olavurmortensen/demuxlink'}"
914,jpfeuffer,4,"{'bigbio/proteomicstmt', 'Leon-Bichmann/Phosphoproteomics', 'bigbio/quantms', 'nf-core/proteomicslfq'}"
134,photocyte,4,"{'photocyte/luciferase-PPX-predictor-nf', 'photocyte/genomeScope_nf', 'photocyte/repeatModeler2_nf', 'photocyte/doSameSpeciesLiftOver_nextflow'}"
917,m-bull,4,"{'connor-lab/qc_nextflow', 'mikek498/artic-gls', 'connor-lab/ncov2019-artic-nf', 'connor-lab/PenGU-testdata-build'}"
814,t-neumann,4,"{'PavriLab/repliseq-nf', 'ZuberLab/crispr-process-nf', 't-neumann/slamseq', 't-neumann/salmon-nf'}"
265,ljmesi,4,"{'nf-core/raredisease', 'nf-core/taxprofiler', 'nf-core/modules', 'genomic-medicine-sweden/JASEN'}"
894,jvpon,4,"{'biocorecrg/CoursesCRG_Containers_Nextflow_May_2021', 'biocorecrg/ELIXIR_containers_nextflow', 'biocorecrg/vectorQC', 'biocorecrg/SIB_course_nextflow_Nov_2021'}"
394,mbosio85,4,"{'mbosio85/CNVcall', 'inab/RDConnect_RNASeq', 'mbosio85/ngs_variant_calling', 'mbosio85/nf-core-gatkcohortcall'}"
1025,FelixKrueger,4,"{'nf-core/modules', 'nf-core/methylseq', 's-andrews/nextflow_pipelines', 'FAANG/GSM-pipeline'}"
226,yuifu,4,"{'bioinfo-tsukuba/nf-fastqc', 'rikenbit/ramdaq', 'rikenbit/RamDAQ-prototype', 'yuifu/nextflow_cwl_example'}"
488,kevbrick,4,"{'nf-core/modules', 'nf-core/ssds', 'kevbrick/pipeIt', 'kevbrick/ssds_nfcore'}"
545,charlotte-west,4,"{'nf-core/clipseq', 'luslab/luslab-nf-modules', 'nf-core/cutandrun', 'luslab/nf-core-modules'}"
95,juneb4869,4,"{'ssun1116/meripseqpipe', 'canceromics/MeRIPseqPipe', 'juneb4869/new_meripseqpipe', 'kingzhuky/meripseqpipe'}"
913,doudoufeishangtian,4,"{'doudoufeishangtian/WGSpipe-nf', 'doudoufeishangtian/bacDENOVO-nf', 'doudoufeishangtian/smRNApipe-nf', 'doudoufeishangtian/RNApipe-nf'}"
362,MillironX,3,"{'nf-core/modules', 'ksumngs/v-met', 'ksumngs/nf-modules'}"
458,J35P312,3,"{'genomic-medicine-sweden/RareDisease_RNA_workflow', 'GMS6804-master/Sarek', 'melnel000/Sarek_CBIO'}"
956,varshini712,3,"{'NYU-Molecular-Pathology/LG-PACT', 'NYU-Molecular-Pathology/NGS580-nf', 'varshini712/mutect2-nf'}"
338,emi80,3,"{'guigolab/rnaseq-nf', 'CRG-CNAG/CalliNGS-NF', 'nextflow-io/nf-hack18'}"
718,seandavi,3,"{'seandavi/curatedMetagenomicsNextflow', 'seandavi/cmgd_coordinator', 'seandavi/nf-core-cmgd'}"
919,nvk747,3,"{'nf-core/methylseq', 'nf-core/hlatyping', 'FAANG/GSM-pipeline'}"
1011,AbigailShockey,3,"{'wslh-bio/spriggan', 'wslh-bio/dryad', 'AbigailShockey/augur-nf'}"
795,bwlang,3,"{'replikation/poreCov', 'AGROSAVIABIOUNIT/nextflow_conda_cutadapt', 'nebiolabs/EM-seq'}"
270,sunitj,3,"{'FischbachLab/nf-readqc', 'FischbachLab/nf-reads-profiler', 'FischbachLab/nf-midas'}"
273,jinmingda,3,"{'nf-core/modules', 'lengfei5/atacseq_nf', 'nf-core/atacseq'}"
863,FilipThorn,3,"{'FilipThorn/nf_mito-mania', 'FilipThorn/nf-variantcaller', 'FilipThorn/nf-GL_popstructure'}"
1043,subwaystation,3,"{'nf-core/modules', 'nf-core/airrflow', 'subwaystation/pangenome'}"
240,BrianLohman,3,"{'BrianLohman/star-rsem-scrnaseq-nf', 'BrianLohman/pdx-nf', 'BrianLohman/RNAseq-variant-calling-nf'}"
262,waffle-iron,3,"{'sickle-in-africa/saw.structural-variants', 'GMS6804-master/Sarek', 'melnel000/Sarek_CBIO'}"
947,ppedrioli,3,"{'digitalproteomes/NF-DIAUmpire', 'digitalproteomes/NF-SpectraST', 'digitalproteomes/NF-CometTPP'}"
643,nservant,3,"{'bioinfo-pf-curie/as-mapping', 'bioinfo-pf-curie/nf-VIF', 'bioinfo-pf-curie/annotationMaker'}"
647,lskatz,3,"{'nf-core/modules', 'lskatz/Kessel-run', 'lskatz/nf-core-mlst'}"
214,lstevens17,3,"{'lstevens17/busco-nf', 'tolkit/nemADSQ', 'lstevens17/nemAsm'}"
234,MarieGurke,3,"{'MarieGurke/nfconsensus', 'MarieGurke/nfvacal', 'MarieGurke/nfmap'}"
934,lynn-sanford,3,"{'Dowell-Lab/Bidirectional-Flow', 'Dowell-Lab/RNAseq-Flow', 'Dowell-Lab/Nascent-Flow'}"
